"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nacionalitat","Nombre"
2017,1,"Ciutat Vella",1,"el Raval","Tots espanyols",8529
2017,1,"Ciutat Vella",2,"el Barri Gòtic","Tots espanyols",3353
2017,1,"Ciutat Vella",3,"la Barceloneta","Tots espanyols",4184
2017,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Tots espanyols",5560
2017,2,"Eixample",5,"el Fort Pienc","Tots espanyols",9820
2017,2,"Eixample",6,"la Sagrada Família","Tots espanyols",17167
2017,2,"Eixample",7,"la Dreta de l'Eixample","Tots espanyols",13526
2017,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Tots espanyols",13689
2017,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Tots espanyols",19562
2017,2,"Eixample",10,"Sant Antoni","Tots espanyols",12525
2017,3,"Sants-Montjuïc",11,"el Poble Sec","Tots espanyols",10853
2017,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Tots espanyols",398
2017,3,"Sants-Montjuïc",13,"la Marina de Port","Tots espanyols",10021
2017,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Tots espanyols",3383
2017,3,"Sants-Montjuïc",15,"Hostafrancs","Tots espanyols",5026
2017,3,"Sants-Montjuïc",16,"la Bordeta","Tots espanyols",6433
2017,3,"Sants-Montjuïc",17,"Sants - Badal","Tots espanyols",8109
2017,3,"Sants-Montjuïc",18,"Sants","Tots espanyols",13985
2017,4,"Les Corts",19,"les Corts","Tots espanyols",16413
2017,4,"Les Corts",20,"la Maternitat i Sant Ramon","Tots espanyols",8386
2017,4,"Les Corts",21,"Pedralbes","Tots espanyols",3355
2017,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Tots espanyols",1241
2017,5,"Sarrià-Sant Gervasi",23,"Sarrià","Tots espanyols",7368
2017,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Tots espanyols",4792
2017,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Tots espanyols",7876
2017,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Tots espanyols",15415
2017,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Tots espanyols",10006
2017,6,"Gràcia",28,"Vallcarca i els Penitents","Tots espanyols",5342
2017,6,"Gràcia",29,"el Coll","Tots espanyols",2538
2017,6,"Gràcia",30,"la Salut","Tots espanyols",4503
2017,6,"Gràcia",31,"la Vila de Gràcia","Tots espanyols",17162
2017,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Tots espanyols",12415
2017,7,"Horta-Guinardó",33,"el Baix Guinardó","Tots espanyols",9078
2017,7,"Horta-Guinardó",34,"Can Baró","Tots espanyols",3163
2017,7,"Horta-Guinardó",35,"el Guinardó","Tots espanyols",12843
2017,7,"Horta-Guinardó",36,"la Font d'en Fargues","Tots espanyols",3366
2017,7,"Horta-Guinardó",37,"el Carmel","Tots espanyols",10827
2017,7,"Horta-Guinardó",38,"la Teixonera","Tots espanyols",4034
2017,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Tots espanyols",2423
2017,7,"Horta-Guinardó",40,"Montbau","Tots espanyols",1878
2017,7,"Horta-Guinardó",41,"la Vall d'Hebron","Tots espanyols",2122
2017,7,"Horta-Guinardó",42,"la Clota","Tots espanyols",235
2017,7,"Horta-Guinardó",43,"Horta","Tots espanyols",9465
2017,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Tots espanyols",9023
2017,8,"Nou Barris",45,"Porta","Tots espanyols",8734
2017,8,"Nou Barris",46,"el Turó de la Peira","Tots espanyols",4911
2017,8,"Nou Barris",47,"Can Peguera","Tots espanyols",825
2017,8,"Nou Barris",48,"la Guineueta","Tots espanyols",5669
2017,8,"Nou Barris",49,"Canyelles","Tots espanyols",2645
2017,8,"Nou Barris",50,"les Roquetes","Tots espanyols",4686
2017,8,"Nou Barris",51,"Verdun","Tots espanyols",4194
2017,8,"Nou Barris",52,"la Prosperitat","Tots espanyols",9211
2017,8,"Nou Barris",53,"la Trinitat Nova","Tots espanyols",2352
2017,8,"Nou Barris",54,"Torre Baró","Tots espanyols",739
2017,8,"Nou Barris",55,"Ciutat Meridiana","Tots espanyols",2591
2017,8,"Nou Barris",56,"Vallbona","Tots espanyols",396
2017,9,"Sant Andreu",57,"la Trinitat Vella","Tots espanyols",2503
2017,9,"Sant Andreu",58,"Baró de Viver","Tots espanyols",830
2017,9,"Sant Andreu",59,"el Bon Pastor","Tots espanyols",3862
2017,9,"Sant Andreu",60,"Sant Andreu","Tots espanyols",21326
2017,9,"Sant Andreu",61,"la Sagrera","Tots espanyols",10127
2017,9,"Sant Andreu",62,"el Congrés i els Indians","Tots espanyols",5079
2017,9,"Sant Andreu",63,"Navas","Tots espanyols",7591
2017,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Tots espanyols",13267
2017,10,"Sant Martí",65,"el Clot","Tots espanyols",8978
2017,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Tots espanyols",4753
2017,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Tots espanyols",2679
2017,10,"Sant Martí",68,"el Poblenou","Tots espanyols",10679
2017,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Tots espanyols",4266
2017,10,"Sant Martí",70,"el Besòs i el Maresme","Tots espanyols",6422
2017,10,"Sant Martí",71,"Provençals del Poblenou","Tots espanyols",6855
2017,10,"Sant Martí",72,"Sant Martí de Provençals","Tots espanyols",9256
2017,10,"Sant Martí",73,"la Verneda i la Pau","Tots espanyols",10105
2017,1,"Ciutat Vella",1,"el Raval","Tots estrangers",4939
2017,1,"Ciutat Vella",2,"el Barri Gòtic","Tots estrangers",2026
2017,1,"Ciutat Vella",3,"la Barceloneta","Tots estrangers",1823
2017,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Tots estrangers",2882
2017,2,"Eixample",5,"el Fort Pienc","Tots estrangers",1492
2017,2,"Eixample",6,"la Sagrada Família","Tots estrangers",2267
2017,2,"Eixample",7,"la Dreta de l'Eixample","Tots estrangers",2663
2017,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Tots estrangers",2272
2017,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Tots estrangers",2328
2017,2,"Eixample",10,"Sant Antoni","Tots estrangers",1783
2017,3,"Sants-Montjuïc",11,"el Poble Sec","Tots estrangers",2545
2017,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Tots estrangers",18
2017,3,"Sants-Montjuïc",13,"la Marina de Port","Tots estrangers",724
2017,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Tots estrangers",403
2017,3,"Sants-Montjuïc",15,"Hostafrancs","Tots estrangers",762
2017,3,"Sants-Montjuïc",16,"la Bordeta","Tots estrangers",436
